ID,band_ID,musician_ID
0cd99957-699e-41c7-ad37-6a0e6fc5a5b9,43ceb867-7e1e-447b-9fcd-a7a1ce1499e8,1a1005d9-ba7a-4d94-846b-87df18496628
e820f674-45a4-4e8e-8265-c30a7bb4f872,43ceb867-7e1e-447b-9fcd-a7a1ce1499e8,29759671-4dd0-4142-a948-cad423e840ec
375a32cd-f51f-42ef-aae8-8ed208980833,43ceb867-7e1e-447b-9fcd-a7a1ce1499e8,025bf968-1303-4b7f-bf14-eba299c272cb
a5f538da-1114-491e-8c8a-10ba69abccec,673a33e1-f712-4fd1-881a-20ba90141ff4,a1bfd33c-3680-47a2-8d70-754704b927f1
8be55cc0-a25c-427c-bd58-13194215fc82,673a33e1-f712-4fd1-881a-20ba90141ff4,72f9ce92-6f10-4dfb-8a2e-dca8227f67b7
c8614052-66bf-439a-8f18-18c35c45f107,ff0879ef-f684-4017-a06f-e684bc50bd4c,10fb1060-cd62-4497-995d-f027a7fb49d0
0b5c67ed-86df-45fe-befb-649f85b0a5bc,ff0879ef-f684-4017-a06f-e684bc50bd4c,c98bc946-b5b9-43f6-8599-07ca608507c1
9c14f6cb-f713-43b7-9920-23101c38028c,ff0879ef-f684-4017-a06f-e684bc50bd4c,a0310213-64ef-416e-a39a-8a257bcad608
47ed8e69-0ab0-4e10-9268-0d873519ab3e,ff0879ef-f684-4017-a06f-e684bc50bd4c,f760cd21-3ff3-4558-acf0-09558f8d0a34
aa1a95f2-4002-46dc-a847-5b60c7d93294,dcae8ff3-421e-4eb2-8665-6f86009090f2,f760cd21-3ff3-4558-acf0-09558f8d0a34
d24d99fe-cf56-4c2e-b8cb-7b5f62617b0f,dcae8ff3-421e-4eb2-8665-6f86009090f2,40331efe-a640-4c84-a994-050eb80c0858
883bd8c7-d514-4089-9d56-36094d0c4158,dcae8ff3-421e-4eb2-8665-6f86009090f2,7c8ed135-7699-42dc-bfca-950c95f980e8
30dfe852-ed67-4442-8904-fad396d5e82a,e9d426cb-4724-499c-8ca8-7f43c1bebedf,ea0b7d17-4b3b-4260-aa5c-194f8ff68a1a
22790228-d749-47af-a415-636f5a9726dd,e9d426cb-4724-499c-8ca8-7f43c1bebedf,e50d2f68-56b1-4f14-9077-c72a55b16462
